Reporting_Period,County,Facility_Name,    Number_of_Incarcerated_in_the_Facility    ,Total_Number_Tested,Total_Confirmed_Positive,Confirmed_at_Intake_(Optional),Confirmed_in_First_14 Days_(Optional),Confirmed_In_Custody_(Optional),Hospitalized,Estimated_Resolved,Deaths,Additional_Information_(Optional),Staff_Tested,Staff_Confirmed_Positive,Staff_Resolved,Additional_County_Information
07/25/20,Alameda,Santa Rita Jail,U,177,24,<11,<11,22,0,36,0,,,,,
08/01/20,Alameda,Santa Rita Jail,"1,764",176,<11,<11,<11,<11,0,24,0,,,,,
08/08/20,Alameda,Santa Rita Jail,"1,768",174,<11,<11,<11,<11,0,<11,0,,,,,
08/15/20,Alameda,Santa Rita Jail,"1,794",234,<11,0,0,<11,0,<11,0,,,,,
08/22/20,Alameda,Santa Rita Jail,"1,789",197,<11,<11,0,<11,0,<11,0,,,,,
08/29/20,Alameda,Santa Rita Jail,"1,802",277,<11,0,<11,<11,0,0,0,,,,,
09/05/20,Alameda,Santa Rita Jail,"1,820",165,<11,<11,<11,<11,0,<11,0,,,,,
09/12/20,Alameda,Santa Rita Jail,"1,857",177,0,0,0,0,0,<11,0,,,,,
09/19/20,Alameda,Santa Rita Jail,"1,821",211,<11,0,0,<11,0,<11,0,,,,,
09/26/20,Alameda,Santa Rita Jail,"1,829",254,13,0,0,13,0,<11,0,,,,,
10/03/20,Alameda,Santa Rita Jail,"1,848",191,<11,0,0,<11,0,16,0,,,,,
10/10/20,Alameda,Santa Rita Jail,"1,916",148,<11,<11,<11,0,0,<11,0,,,,,
10/17/20,Alameda,Santa Rita Jail,"1,985",200,0,0,0,0,0,<11,0,,,,,
10/24/20,Alameda,Santa Rita Jail,"2,015",161,<11,<11,<11,0,0,0,0,,,,,
10/31/20,Alameda,Santa Rita Jail,"2,009",214,<11,<11,<11,0,0,0,0,,,,,
11/07/20,Alameda,Santa Rita Jail,"2,031",283,<11,<11,<11,0,0,0,0,,,,,
11/14/20,Alameda,Santa Rita Jail,"2,033",162,0,0,0,0,0,0,0,,,,,
11/21/20,Alameda,Santa Rita Jail,"2,043",155,<11,<11,<11,0,0,<11,0,,,,,
11/28/20,Alameda,Santa Rita Jail,"2,086",146,<11,<11,<11,0,0,<11,0,,,,,
12/05/20,Alameda,Santa Rita Jail,"2,078",136,<11,<11,<11,0,0,<11,0,,,,,
12/12/20,Alameda,Santa Rita Jail,"2,067",187,<11,<11,<11,<11,0,<11,0,,,,,
12/19/20,Alameda,Santa Rita Jail,"2,047",164,<11,<11,<11,<11,0,<11,0,,,,,
12/26/20,Alameda,Santa Rita Jail,"2,020",225,<11,<11,<11,52,0,<11,0,,,,,
01/02/21,Alameda,Santa Rita Jail,"2,034",298,75,<11,<11,71,0,35,0,,,,,
01/09/21,Alameda,Santa Rita Jail,"2,008",197,<11,<11,<11,<11,0,76,0,,,,,
01/16/21,Alameda,Santa Rita Jail,"1,986",240,13,0,11,<11,0,14,0,,,,,
01/23/21,Alameda,Santa Rita Jail,"1,939",524,65,<11,<11,62,0,<11,0,,,,,
01/30/21,Alameda,Santa Rita Jail,"2,041",299,19,<11,<11,16,0,49,0,,,,,
02/06/21,Alameda,Santa Rita Jail,"2,048",458,14,<11,<11,16,0,35,0,,,,,
02/13/21,Alameda,Santa Rita Jail,"2,050",260,<11,<11,<11,<11,0,14,0,,,,,
02/20/21,Alameda,Santa Rita Jail,"2,066",358,<11,<11,<11,0,0,<11,0,,,,,
02/27/21,Alameda,Santa Rita Jail,"2,088",220,<11,<11,<11,0,0,<11,0,,,,,
03/06/21,Alameda,Santa Rita Jail,"2,219",390,<11,<11,<11,0,0,<11,0,,,,,
03/13/21,Alameda,Santa Rita Jail,"2,085",222,<11,<11,<11,<11,0,<11,0,,,,,
03/20/21,Alameda,Santa Rita Jail,"2,092",354,<11,<11,<11,<11,0,<11,0,,,,,
03/27/21,Alameda,Santa Rita Jail,"2,092",354,<11,<11,<11,0,0,0,0,,,,,
04/03/21,Alameda,Santa Rita Jail,"2,043",428,<11,<11,<11,<11,0,<11,0,,,,,
04/10/21,Alameda,Santa Rita Jail,"2,027",302,<11,<11,<11,0,0,<11,0,,,,,
04/17/21,Alameda,Santa Rita Jail,"2,015",283,<11,<11,<11,0,0,0,0,,,,,
04/24/21,Alameda,Santa Rita Jail,"2,015",279,0,0,0,0,0,0,0,,,,,
05/01/21,Alameda,Santa Rita Jail,"2,037",191,<11,<11,<11,<11,0,<11,0,,,,,
05/08/21,Alameda,Santa Rita Jail,"1,975",325,<11,<11,<11,0,0,<11,0,,,,,
05/15/21,Alameda,Santa Rita Jail,"1,994",218,<11,<11,<11,0,0,<11,0,,,,,
05/22/21,Alameda,Santa Rita Jail,"1,984",358,<11,<11,<11,0,0,<11,0,,,,,
05/29/21,Alameda,Santa Rita Jail,"1,977",255,<11,<11,<11,0,0,<11,0,,,,,
06/05/21,Alameda,Santa Rita Jail,"1,981",388,<11,<11,<11,0,0,<11,0,,,,,
06/12/21,Alameda,Santa Rita Jail,"1,938",367,<11,<11,<11,0,0,<11,0,,,,,
06/19/21,Alameda,Santa Rita Jail,"1,958",299,0,0,0,0,0,0,0,,,,,
06/26/21,Alameda,Santa Rita Jail,"1,928",259,0,0,0,0,0,0,0,,,,,
07/03/21,Alameda,No Data Reported,,,,,,,,,,,,,,
07/10/21,Alameda,Santa Rita Jail,"1,930",324,<11,<11,<11,0,0,<11,0,,,,,
07/17/21,Alameda,Santa Rita Jail,"1,928",313,<11,<11,<11,<11,0,<11,0,,,,,
07/24/21,Alameda,Santa Rita Jail,"1,917",294,<11,<11,<11,0,0,<11,0,,,,,
07/31/21,Alameda,Santa Rita Jail,"1,911",295,<11,<11,<11,<11,0,<11,0,,,,,
08/07/21,Alameda,Santa Rita Jail,"1,913",239,0,,,,0,<11,0,,,,,
08/14/21,Alameda,Santa Rita Jail,"1,920",327,<11,,,,0,<11,0,,,,,
08/21/21,Alameda,Santa Rita Jail,"1,952",382,20,<11,<11,17,0,<11,0,,,,,
08/28/21,Alameda,Santa Rita Jail,"1,985",372,<11,<11,<11,<11,0,17,0,,,,,
09/04/21,Alameda,Santa Rita Jail,"1,996",526,15,<11,<11,<11,0,<11,0,,,,,
09/11/21,Alameda,Santa Rita Jail,"2,008",386,45,<11,<11,43,0,14,0,,,,,
09/18/21,Alameda,Santa Rita Jail,"2,016",227,11,<11,<11,<11,0,36,0,,,,,
09/25/21,Alameda,No Data Reported,,,,,,,,,,,,,,
10/02/21,Alameda,Santa Rita Jail,"2,041",382,11,0,0,<11,0,<11,0,,,,,
10/09/21,Alameda,No Data Reported,,,,,,,,,,,,,,
10/16/21,Alameda,Santa Rita Jail,"2,061",450,<11,<11,<11,0,0,0,0,,,,,
10/23/21,Alameda,Santa Rita Jail,"2,064",237,<11,<11,<11,0,0,0,0,,,,,
10/30/21,Alameda,Santa Rita Jail,"2,077",276,<11,<11,<11,<11,0,<11,0,,,,,
11/06/21,Alameda,Santa Rita Jail,"2,091",305,<11,0,0,<11,0,<11,0,,,,,
11/13/21,Alameda,Santa Rita Jail,"2,100",313,<11,<11,<11,<11,0,<11,0,,,,,
11/20/21,Alameda,Santa Rita Jail,"2,071",263,<11,<11,<11,0,0,<11,0,,,,,
11/27/21,Alameda,Santa Rita Jail,"2,103",272,0,0,0,0,0,0,0,,,,,
12/04/21,Alameda,Santa Rita Jail,"2,121",277,<11,<11,<11,<11,0,0,0,,,,,
12/11/21,Alameda,Santa Rita Jail,"2,107",287,<11,<11,<11,0,0,<11,0,,,,,
12/18/21,Alameda,Santa Rita Jail,"2,103",329,<11,<11,<11,0,0,<11,0,,,,,
12/25/21,Alameda,Santa Rita Jail,"2,051",261,<11,<11,<11,0,0,<11,0,,,,,
01/01/22,Alameda,Santa Rita Jail,"2,100",280,<11,<11,<11,0,0,<11,0,,,,,
01/08/22,Alameda,Santa Rita Jail,"2,142",436,178,<11,<11,170,0,0,0,,,,,
01/15/22,Alameda,Santa Rita Jail,"2,139",591,283,29,29,254,0,22,0,,,,,
01/22/22,Alameda,Santa Rita Jail,"2,168",461,216,43,43,173,0,163,0,,,,,
01/29/22,Alameda,Santa Rita Jail,"2,133",236,103,45,45,53,0,144,0,,,,,
02/05/22,Alameda,Santa Rita Jail,"2,235",219,41,19,19,22,0,104,0,,,,,
02/12/22,Alameda,Santa Rita Jail,"2,058",244,33,18,18,11,0,49,0,,,,,
02/19/22,Alameda,Santa Rita Jail,"2,177",313,28,<11,<11,17,0,33,0,,,,,
02/26/22,Alameda,Santa Rita Jail,"2,258",242,<11,<11,<11,<11,0,13,0,,,,,
03/05/22,Alameda,Santa Rita Jail,"1,992",239,<11,<11,<11,0,0,<11,0,,,,,
03/12/22,Alameda,Santa Rita Jail,"2,036",239,<11,<11,<11,0,0,0,0,,,,,
03/19/22,Alameda,Santa Rita Jail,"1,951",200,<11,<11,<11,0,0,0,0,,,,,
03/26/22,Alameda,Santa Rita Jail,"2,114",235,<11,<11,0,0,0,<11,0,,,,,
07/25/20,Alameda,,,,,,,,,,,,355,<11,<11,
08/01/20,Alameda,,,,,,,,,,,,<11,<11,<11,
08/08/20,Alameda,,,,,,,,,,,,0,0,<11,
08/15/20,Alameda,,,,,,,,,,,,0,0,<11,
08/22/20,Alameda,,,,,,,,,,,,0,0,0,
08/29/20,Alameda,,,,,,,,,,,,<11,<11,<11,
09/05/20,Alameda,,,,,,,,,,,,0,0,0,
09/12/20,Alameda,,,,,,,,,,,,0,0,<11,
09/19/20,Alameda,,,,,,,,,,,,0,0,0,
09/26/20,Alameda,,,,,,,,,,,,0,0,0,
10/03/20,Alameda,,,,,,,,,,,,0,0,<11,
10/10/20,Alameda,,,,,,,,,,,,0,0,0,
10/17/20,Alameda,,,,,,,,,,,,<11,0,0,
10/24/20,Alameda,,,,,,,,,,,,<11,0,0,
10/31/20,Alameda,,,,,,,,,,,,<11,0,0,
11/07/20,Alameda,,,,,,,,,,,,0,0,0,
11/14/20,Alameda,,,,,,,,,,,,<11,<11,0,
11/21/20,Alameda,,,,,,,,,,,,<11,<11,0,
11/28/20,Alameda,,,,,,,,,,,,<11,<11,<11,
12/05/20,Alameda,,,,,,,,,,,,11,<11,0,
12/12/20,Alameda,,,,,,,,,,,,<11,<11,<11,
12/19/20,Alameda,,,,,,,,,,,,No Data Reported,,,
12/26/20,Alameda,,,,,,,,,,,,93,13,<11,
01/02/21,Alameda,,,,,,,,,,,,No Data Reported,,,
01/09/21,Alameda,,,,,,,,,,,,13,<11,<11,
01/16/21,Alameda,,,,,,,,,,,,<11,<11,<11,
01/23/21,Alameda,,,,,,,,,,,,<11,<11,0,
01/30/21,Alameda,,,,,,,,,,,,<11,<11,<11,
02/06/21,Alameda,,,,,,,,,,,,<11,<11,<11,
02/13/21,Alameda,,,,,,,,,,,,<11,<11,<11,
02/20/21,Alameda,,,,,,,,,,,,<11,<11,<11,
02/27/21,Alameda,,,,,,,,,,,,0,0,<11,
03/06/21,Alameda,,,,,,,,,,,,<11,<11,0,
03/13/21,Alameda,,,,,,,,,,,,0,0,0,
03/20/21,Alameda,,,,,,,,,,,,0,0,0,
03/27/21,Alameda,,,,,,,,,,,,216,0,0,
04/03/21,Alameda,,,,,,,,,,,,423,0,0,
04/10/21,Alameda,,,,,,,,,,,,481,0,0,
04/17/21,Alameda,,,,,,,,,,,,351,0,0,
04/24/21,Alameda,,,,,,,,,,,,483,0,0,
05/01/21,Alameda,,,,,,,,,,,,351,<11,0,
05/08/21,Alameda,,,,,,,,,,,,417,<11,0,
05/15/21,Alameda,,,,,,,,,,,,312,<11,0,
05/22/21,Alameda,,,,,,,,,,,,468,<11,0,
05/29/21,Alameda,,,,,,,,,,,,408,<11,0,
06/05/21,Alameda,,,,,,,,,,,,359,<11,0,
06/12/21,Alameda,,,,,,,,,,,,496,<11,0,
06/19/21,Alameda,,,,,,,,,,,,427,<11,<11,
06/26/21,Alameda,,,,,,,,,,,,526,<11,<11,
07/03/21,Alameda,,,,,,,,,,,,No Data Reported,,,
07/10/21,Alameda,,,,,,,,,,,,433,<11,0,
07/17/21,Alameda,,,,,,,,,,,,475,<11,0,
07/24/21,Alameda,,,,,,,,,,,,493,0,0,
07/31/21,Alameda,,,,,,,,,,,,625,<11,0,
08/07/21,Alameda,,,,,,,,,,,,350,14,0,
08/14/21,Alameda,,,,,,,,,,,,682,11,<11,
08/21/21,Alameda,,,,,,,,,,,,298,<11,<11,
08/21/21,Alameda,,,,,,,,,,,,<11,<11,<11,
08/28/21,Alameda,,,,,,,,,,,,553,<11,<11,
09/04/21,Alameda,,,,,,,,,,,,563,<11,<11,
09/11/21,Alameda,,,,,,,,,,,,559,<11,<11,
09/18/21,Alameda,,,,,,,,,,,,515,<11,<11,
09/25/21,Alameda,,,,,,,,,,,,82,0,<11,
10/02/21,Alameda,,,,,,,,,,,,482,<11,<11,
10/09/21,Alameda,,,,,,,,,,,,No Data Reported,,,
10/16/21,Alameda,,,,,,,,,,,,505,<11,<11,
10/23/21,Alameda,,,,,,,,,,,,482,<11,<11,
10/30/21,Alameda,,,,,,,,,,,,479,<11,<11,
11/06/21,Alameda,,,,,,,,,,,,452,<11,<11,
11/13/21,Alameda,,,,,,,,,,,,451,<11,<11,
11/20/21,Alameda,,,,,,,,,,,,442,0,<11,
11/27/21,Alameda,,,,,,,,,,,,285,<11,0,
12/04/21,Alameda,,,,,,,,,,,,436,<11,0,
12/11/21,Alameda,,,,,,,,,,,,426,0,<11,
12/18/21,Alameda,,,,,,,,,,,,418,<11,0,
12/25/21,Alameda,,,,,,,,,,,,417,<11,<11,
01/01/22,Alameda,,,,,,,,,,,,445,<11,<11,
01/08/22,Alameda,,,,,,,,,,,,322,63,<11,
01/15/22,Alameda,,,,,,,,,,,,250,83,58,
01/22/22,Alameda,,,,,,,,,,,,262,38,70,
01/29/22,Alameda,,,,,,,,,,,,246,47,68,
02/05/22,Alameda,,,,,,,,,,,,247,<11,33,
02/12/22,Alameda,,,,,,,,,,,,247,<11,15,
02/19/22,Alameda,,,,,,,,,,,,257,<11,<11,
02/26/22,Alameda,,,,,,,,,,,,243,<11,<11,
03/05/22,Alameda,,,,,,,,,,,,259,0,<11,
03/12/22,Alameda,,,,,,,,,,,,267,<11,0,
03/19/22,Alameda,,,,,,,,,,,,257,0,0,
03/26/22,Alameda,,,,,,,,,,,,252,<11,0,
07/25/20,Amador,No Data Reported,,,,,,,,,,,,,,
08/01/20,Amador,No Data Reported,,,,,,,,,,,,,,
08/08/20,Amador,No Data Reported,,,,,,,,,,,,,,
08/15/20,Amador,No Data Reported,,,,,,,,,,,,,,
08/22/20,Amador,No Data Reported,,,,,,,,,,,,,,
08/29/20,Amador,No Data Reported,,,,,,,,,,,,,,
09/05/20,Amador,No Data Reported,,,,,,,,,,,,,,
09/12/20,Amador,No Data Reported,,,,,,,,,,,,,,
09/19/20,Amador,No Data Reported,,,,,,,,,,,,,,
09/26/20,Amador,No Data Reported,,,,,,,,,,,,,,
10/03/20,Amador,No Data Reported,,,,,,,,,,,,,,
10/10/20,Amador,No Data Reported,,,,,,,,,,,,,,
10/17/20,Amador,No Data Reported,,,,,,,,,,,,,,
10/24/20,Amador,No Data Reported,,,,,,,,,,,,,,
10/31/20,Amador,No Data Reported,,,,,,,,,,,,,,
11/07/20,Amador,No Data Reported,,,,,,,,,,,,,,
11/14/20,Amador,No Data Reported,,,,,,,,,,,,,,
11/21/20,Amador,No Data Reported,,,,,,,,,,,,,,
11/28/20,Amador,No Data Reported,,,,,,,,,,,,,,
12/05/20,Amador,No Data Reported,,,,,,,,,,,,,,
12/12/20,Amador,No Data Reported,,,,,,,,,,,,,,
12/19/20,Amador,No Data Reported,,,,,,,,,,,,,,
12/26/20,Amador,No Data Reported,,,,,,,,,,,,,,
01/02/21,Amador,No Data Reported,,,,,,,,,,,,,,
01/09/21,Amador,No Data Reported,,,,,,,,,,,,,,
01/16/21,Amador,No Data Reported,,,,,,,,,,,,,,
01/23/21,Amador,No Data Reported,,,,,,,,,,,,,,
01/30/21,Amador,No Data Reported,,,,,,,,,,,,,,
02/06/21,Amador,No Data Reported,,,,,,,,,,,,,,
02/13/21,Amador,No Data Reported,,,,,,,,,,,,,,
02/20/21,Amador,No Data Reported,,,,,,,,,,,,,,
02/27/21,Amador,No Data Reported,,,,,,,,,,,,,,
03/06/21,Amador,No Data Reported,,,,,,,,,,,,,,
03/13/21,Amador,No Data Reported,,,,,,,,,,,,,,
03/20/21,Amador,No Data Reported,,,,,,,,,,,,,,
03/27/21,Amador,No Data Reported,,,,,,,,,,,,,,
04/03/21,Amador,No Data Reported,,,,,,,,,,,,,,
04/10/21,Amador,No Data Reported,,,,,,,,,,,,,,
04/17/21,Amador,No Data Reported,,,,,,,,,,,,,,
04/24/21,Amador,No Data Reported,,,,,,,,,,,,,,
05/01/21,Amador,No Data Reported,,,,,,,,,,,,,,
05/08/21,Amador,No Data Reported,,,,,,,,,,,,,,
05/15/21,Amador,No Data Reported,,,,,,,,,,,,,,
05/22/21,Amador,No Data Reported,,,,,,,,,,,,,,
05/29/21,Amador,No Data Reported,,,,,,,,,,,,,,
06/05/21,Amador,No Data Reported,,,,,,,,,,,,,,
06/12/21,Amador,No Data Reported,,,,,,,,,,,,,,
06/19/21,Amador,No Data Reported,,,,,,,,,,,,,,
06/26/21,Amador,No Data Reported,,,,,,,,,,,,,,
07/03/21,Amador,No Data Reported,,,,,,,,,,,,,,
07/10/21,Amador,No Data Reported,,,,,,,,,,,,,,
07/17/21,Amador,No Data Reported,,,,,,,,,,,,,,
07/24/21,Amador,No Data Reported,,,,,,,,,,,,,,
07/31/21,Amador,No Data Reported,,,,,,,,,,,,,,
08/07/21,Amador,No Data Reported,,,,,,,,,,,,,,
08/14/21,Amador,No Data Reported,,,,,,,,,,,,,,
08/21/21,Amador,No Data Reported,,,,,,,,,,,,,,
08/28/21,Amador,No Data Reported,,,,,,,,,,,,,,
09/04/21,Amador,No Data Reported,,,,,,,,,,,,,,
09/11/21,Amador,No Data Reported,,,,,,,,,,,,,,
09/18/21,Amador,No Data Reported,,,,,,,,,,,,,,
09/25/21,Amador,No Data Reported,,,,,,,,,,,,,,
10/02/21,Amador,No Data Reported,,,,,,,,,,,,,,
10/09/21,Amador,No Data Reported,,,,,,,,,,,,,,
10/16/21,Amador,No Data Reported,,,,,,,,,,,,,,
10/23/21,Amador,No Data Reported,,,,,,,,,,,,,,
10/30/21,Amador,No Data Reported,,,,,,,,,,,,,,
11/06/21,Amador,No Data Reported,,,,,,,,,,,,,,
11/13/21,Amador,No Data Reported,,,,,,,,,,,,,,
11/20/21,Amador,No Data Reported,,,,,,,,,,,,,,
11/27/21,Amador,No Data Reported,,,,,,,,,,,,,,
12/04/21,Amador,No Data Reported,,,,,,,,,,,,,,
12/11/21,Amador,No Data Reported,,,,,,,,,,,,,,
12/18/21,Amador,No Data Reported,,,,,,,,,,,,,,
12/25/21,Amador,No Data Reported,,,,,,,,,,,,,,
01/01/22,Amador,No Data Reported,,,,,,,,,,,,,,
01/08/22,Amador,No Data Reported,,,,,,,,,,,,,,
01/15/22,Amador,No Data Reported,,,,,,,,,,,,,,
01/22/22,Amador,No Data Reported,,,,,,,,,,,,,,
01/29/22,Amador,No Data Reported,,,,,,,,,,,,,,
02/05/22,Amador,No Data Reported,,,,,,,,,,,,,,
02/12/22,Amador,No Data Reported,,,,,,,,,,,,,,
02/19/22,Amador,No Data Reported,,,,,,,,,,,,,,
02/26/22,Amador,No Data Reported,,,,,,,,,,,,,,
03/05/22,Amador,No Data Reported,,,,,,,,,,,,,,
03/12/22,Amador,No Data Reported,,,,,,,,,,,,,,
03/19/22,Amador,No Data Reported,,,,,,,,,,,,,,
03/26/22,Amador,No Data Reported,,,,,,,,,,,,,,
07/25/20,Amador,,,,,,,,,,,,No Data Reported,,,
08/01/20,Amador,,,,,,,,,,,,No Data Reported,,,
08/08/20,Amador,,,,,,,,,,,,No Data Reported,,,
08/15/20,Amador,,,,,,,,,,,,No Data Reported,,,
08/22/20,Amador,,,,,,,,,,,,No Data Reported,,,
08/29/20,Amador,,,,,,,,,,,,No Data Reported,,,
09/05/20,Amador,,,,,,,,,,,,No Data Reported,,,
09/12/20,Amador,,,,,,,,,,,,No Data Reported,,,
09/19/20,Amador,,,,,,,,,,,,No Data Reported,,,
09/26/20,Amador,,,,,,,,,,,,No Data Reported,,,
10/03/20,Amador,,,,,,,,,,,,No Data Reported,,,
10/10/20,Amador,,,,,,,,,,,,No Data Reported,,,
10/17/20,Amador,,,,,,,,,,,,No Data Reported,,,
10/24/20,Amador,,,,,,,,,,,,No Data Reported,,,
10/31/20,Amador,,,,,,,,,,,,No Data Reported,,,
11/07/20,Amador,,,,,,,,,,,,No Data Reported,,,
11/14/20,Amador,,,,,,,,,,,,No Data Reported,,,
11/21/20,Amador,,,,,,,,,,,,No Data Reported,,,
11/28/20,Amador,,,,,,,,,,,,No Data Reported,,,
12/05/20,Amador,,,,,,,,,,,,No Data Reported,,,
12/12/20,Amador,,,,,,,,,,,,No Data Reported,,,
12/19/20,Amador,,,,,,,,,,,,No Data Reported,,,
12/26/20,Amador,,,,,,,,,,,,No Data Reported,,,
01/02/21,Amador,,,,,,,,,,,,No Data Reported,,,
01/09/21,Amador,,,,,,,,,,,,No Data Reported,,,
01/16/21,Amador,,,,,,,,,,,,No Data Reported,,,
01/23/21,Amador,,,,,,,,,,,,No Data Reported,,,
01/30/21,Amador,,,,,,,,,,,,No Data Reported,,,
02/06/21,Amador,,,,,,,,,,,,No Data Reported,,,
02/13/21,Amador,,,,,,,,,,,,No Data Reported,,,
02/20/21,Amador,,,,,,,,,,,,No Data Reported,,,
02/27/21,Amador,,,,,,,,,,,,No Data Reported,,,
03/06/21,Amador,,,,,,,,,,,,No Data Reported,,,
03/13/21,Amador,,,,,,,,,,,,No Data Reported,,,
03/20/21,Amador,,,,,,,,,,,,No Data Reported,,,
03/27/21,Amador,,,,,,,,,,,,No Data Reported,,,
04/03/21,Amador,,,,,,,,,,,,No Data Reported,,,
04/10/21,Amador,,,,,,,,,,,,No Data Reported,,,
04/17/21,Amador,,,,,,,,,,,,No Data Reported,,,
04/24/21,Amador,,,,,,,,,,,,No Data Reported,,,
05/01/21,Amador,,,,,,,,,,,,No Data Reported,,,
05/08/21,Amador,,,,,,,,,,,,No Data Reported,,,
05/15/21,Amador,,,,,,,,,,,,No Data Reported,,,
05/22/21,Amador,,,,,,,,,,,,No Data Reported,,,
05/29/21,Amador,,,,,,,,,,,,No Data Reported,,,
06/05/21,Amador,,,,,,,,,,,,No Data Reported,,,
06/12/21,Amador,,,,,,,,,,,,No Data Reported,,,
06/19/21,Amador,,,,,,,,,,,,No Data Reported,,,
06/26/21,Amador,,,,,,,,,,,,No Data Reported,,,
07/03/21,Amador,,,,,,,,,,,,No Data Reported,,,
07/10/21,Amador,,,,,,,,,,,,No Data Reported,,,
07/17/21,Amador,,,,,,,,,,,,No Data Reported,,,
07/24/21,Amador,,,,,,,,,,,,No Data Reported,,,
07/31/21,Amador,,,,,,,,,,,,No Data Reported,,,
08/07/21,Amador,,,,,,,,,,,,No Data Reported,,,
08/14/21,Amador,,,,,,,,,,,,No Data Reported,,,
08/21/21,Amador,,,,,,,,,,,,No Data Reported,,,
08/28/21,Amador,,,,,,,,,,,,No Data Reported,,,
09/04/21,Amador,,,,,,,,,,,,No Data Reported,,,
09/11/21,Amador,,,,,,,,,,,,No Data Reported,,,
09/18/21,Amador,,,,,,,,,,,,No Data Reported,,,
09/25/21,Amador,,,,,,,,,,,,No Data Reported,,,
10/02/21,Amador,,,,,,,,,,,,No Data Reported,,,
10/09/21,Amador,,,,,,,,,,,,No Data Reported,,,
10/16/21,Amador,,,,,,,,,,,,No Data Reported,,,
10/23/21,Amador,,,,,,,,,,,,No Data Reported,,,
10/30/21,Amador,,,,,,,,,,,,No Data Reported,,,
11/06/21,Amador,,,,,,,,,,,,No Data Reported,,,
11/13/21,Amador,,,,,,,,,,,,No Data Reported,,,
11/20/21,Amador,,,,,,,,,,,,No Data Reported,,,
11/27/21,Amador,,,,,,,,,,,,No Data Reported,,,
12/04/21,Amador,,,,,,,,,,,,No Data Reported,,,
12/11/21,Amador,,,,,,,,,,,,No Data Reported,,,
12/18/21,Amador,,,,,,,,,,,,No Data Reported,,,
12/25/21,Amador,,,,,,,,,,,,No Data Reported,,,
01/01/22,Amador,,,,,,,,,,,,No Data Reported,,,
01/08/22,Amador,,,,,,,,,,,,No Data Reported,,,
01/15/22,Amador,,,,,,,,,,,,No Data Reported,,,
01/22/22,Amador,,,,,,,,,,,,No Data Reported,,,
01/29/22,Amador,,,,,,,,,,,,No Data Reported,,,
02/05/22,Amador,,,,,,,,,,,,No Data Reported,,,
02/12/22,Amador,,,,,,,,,,,,No Data Reported,,,
02/19/22,Amador,,,,,,,,,,,,No Data Reported,,,
02/26/22,Amador,,,,,,,,,,,,No Data Reported,,,
03/05/22,Amador,,,,,,,,,,,,No Data Reported,,,
03/12/22,Amador,,,,,,,,,,,,No Data Reported,,,
03/19/22,Amador,,,,,,,,,,,,No Data Reported,,,
03/26/22,Amador,,,,,,,,,,,,No Data Reported,,,
07/25/20,Butte,Butte County Jail,458,134,43,0,0,134,<11,69,0,,,,,
08/01/20,Butte,Butte County Jail,462,75,70,,,,<11,89,0,,,,,
08/08/20,Butte,Butte County Jail,477,53,18,,,,<11,48,0,,,,,
08/15/20,Butte,Butte County Jail,476,26,<11,0,<11,<11,0,<11,0,,,,,
08/22/20,Butte,Butte County Jail,502,27,14,0,<11,14,0,14,0,,,,,
08/29/20,Butte,Butte County Jail,520,30,<11,<11,<11,<11,0,15,0,,,,,
09/05/20,Butte,Butte County Jail,543,20,<11,0,<11,<11,0,<11,0,,,,,
09/12/20,Butte,Butte County Jail,547,<11,0,0,0,0,0,<11,0,,,,,
09/19/20,Butte,Butte County Jail,524,<11,0,0,<11,0,0,0,0,,,,,
09/26/20,Butte,Butte County Jail,525,<11,0,0,0,0,0,0,0,,,,,
10/03/20,Butte,Butte County Jail,550,<11,<11,0,<11,<11,0,0,0,,,,,
10/10/20,Butte,Butte County Jail,555,<11,0,0,0,0,0,<11,0,,,,,
10/17/20,Butte,Butte County Jail,560,48,0,0,0,0,0,0,0,,,,,
10/24/20,Butte,Butte County Jail,534,47,0,0,0,0,0,0,0,,,,,
10/31/20,Butte,Butte County Jail,525,<11,0,0,0,0,0,0,0,,,,,
11/07/20,Butte,Butte County Jail,534,40,<11,0,0,<11,0,0,0,,,,,
11/14/20,Butte,Butte County Jail,524,<11,<11,0,<11,<11,0,<11,0,,,,,
11/21/20,Butte,Butte County Jail,516,<11,0,0,0,0,0,<11,0,,,,,
11/28/20,Butte,Butte County Jail,526,30,0,0,0,0,0,0,0,,,,,
12/05/20,Butte,Butte County Jail,516,<11,0,0,0,0,0,0,0,,,,,
12/12/20,Butte,Butte County Jail,517,76,29,<11,<11,29,0,0,0,,,,,
12/19/20,Butte,Butte County Jail,519,88,53,<11,<11,53,0,26,0,,,,,
12/26/20,Butte,Butte County Jail,533,66,<11,<11,<11,66,0,54,0,,,,,
01/02/21,Butte,Butte County Jail,539,106,<11,0,<11,<11,0,<11,0,,,,,
01/09/21,Butte,Butte County Jail,542,70,37,0,0,37,0,30,0,,,,,
01/16/21,Butte,Butte County Jail,536,49,25,0,<11,44,0,14,0,,,,,
01/23/21,Butte,Butte County Jail,538,<11,<11,0,0,,0,23,0,,,,,
01/30/21,Butte,Butte County Jail,541,<11,0,0,<11,,0,<11,0,,,,,
02/06/21,Butte,Butte County Jail,547,<11,0,0,0,<11,0,<11,0,,,,,
02/13/21,Butte,Butte County Jail,550,32,0,0,0,0,0,0,0,,,,,
